"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 64, L = 100",1010812,306.005,47.5557,64

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.1,0.144109,107123,469,490,10,10,10,10,1.35
13265,0.2,0.236932,72406,670,703,12,12,10,12,1.35
13265,0.3,0.305435,57168.8,828,871,14,14,10,14,1.35
13265,0.4,0.414489,41645.3,1110,1175,19,19,10,19,1.35
13265,0.5,0.509242,33372,1376,2327,23,40,10,14,1.35
13265,0.6,0.602314,23899,1882,3145,32,54,10,22,1.35
13265,0.7,0.703777,15759.5,2823,4520,49,78,10,38,1.35
13265,0.75,0.760671,11730.2,3784,5660,66,98,10,55,1.35
13265,0.8,0.812439,8598.29,5064,7278,92,129,10,80,1.35
13265,0.85,0.858093,6123.03,6994,9707,133,174,10,120,1.35
13265,0.9,0.902676,3913.39,10516,14071,218,261,10,200,1.35
13265,0.93,0.930418,2714.22,14857,19754,324,372,10,300,1.35
13265,0.95,0.95663,1717.45,23216,30743,537,596,10,500,1.35
13265,0.97,0.971964,1182.04,32974,43910,816,899,10,750,1.35


"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 50",1010812,70.5576,22.9389,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.1,0.103468,114707,397,427,14,14,10,14,1.35
13265,0.2,0.224109,80493.9,588,1039,20,37,10,10,1.35
13265,0.3,0.301357,59723.5,784,1373,28,50,10,15,1.35
13265,0.4,0.406672,33859.8,1150,2002,42,73,10,24,1.35
13265,0.5,0.50634,23632.8,1666,2867,61,104,10,40,1.35
13265,0.6,0.602133,15665,2474,4190,95,159,10,70,1.35
13265,0.7,0.701153,8997.7,4163,6616,174,265,10,140,1.35
13265,0.75,0.755665,6040.98,6092,8989,267,372,10,225,1.35
13265,0.8,0.806385,3849.66,9292,13149,437,548,10,375,1.35
13265,0.85,0.861772,2048.92,16941,23427,861,999,10,750,1.35


"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 50",1010812,0,22.9389,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.1,0.103468,114800,397,427,14,14,10,14,1.35
13265,0.2,0.208194,68717.4,615,661,22,22,10,22,1.35
13265,0.3,0.339299,42290.3,961,1038,35,35,10,35,1.35
13265,0.4,0.406672,31805.1,1150,2002,42,73,10,24,1.35
13265,0.5,0.50634,17573.4,1666,2867,61,104,10,40,1.35
13265,0.6,0.602133,12943.3,2474,4190,95,159,10,70,1.35
13265,0.7,0.701153,7510.01,4163,6616,174,265,10,140,1.35
13265,0.75,0.766174,5438.07,6659,9652,294,396,10,250,1.35
13265,0.8,0.806385,3811.94,9292,13149,437,548,10,375,1.35
13265,0.85,0.861772,2021.44,16941,23427,861,999,10,750,1.35


"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 50",1010812,0,22.9389,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.1,0.103468,124846,397,427,14,14,10,14,1.35
13265,0.2,0.208194,74976.1,615,661,22,22,10,22,1.35
13265,0.3,0.339299,46272.7,961,1038,35,35,10,35,1.35
13265,0.4,0.406672,30427.5,1150,2002,42,73,10,24,1.35
13265,0.5,0.50634,21626.9,1666,2867,61,104,10,40,1.35
13265,0.6,0.602133,14680.3,2474,4190,95,159,10,70,1.35
13265,0.7,0.701153,8501.88,4163,6616,174,265,10,140,1.35
13265,0.75,0.755665,5717.47,6092,8989,267,372,10,225,1.35
13265,0.8,0.806385,3848.63,9292,13149,437,548,10,375,1.35
13265,0.85,0.861772,2068.67,16941,23427,861,999,10,750,1.35


"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 50",1010812,0,22.9389,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.1,0.103468,127823,397,427,14,14,10,14,1.35
13265,0.2,0.208194,76946.7,615,661,22,22,10,22,1.35
13265,0.3,0.339299,48126.8,961,1038,35,35,10,35,1.35
13265,0.4,0.406672,29702.7,1150,2002,42,73,10,24,1.35
13265,0.5,0.50634,21150.6,1666,2867,61,104,10,40,1.35
13265,0.6,0.602133,15453.9,2474,4190,95,159,10,70,1.35
13265,0.7,0.701153,9316.64,4163,6616,174,265,10,140,1.35
13265,0.75,0.755665,6396.81,6092,8989,267,372,10,225,1.35
13265,0.8,0.806385,4473.85,9292,13149,437,548,10,375,1.35
13265,0.85,0.861772,2390.13,16941,23427,861,999,10,750,1.35


"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 50",1010812,0,22.9389,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.1,0.110939,100768,452,486,16,16,25,25,1.35
13265,0.2,0.200127,64993.9,669,720,24,24,25,25,1.35
13265,0.3,0.373823,32257,1211,2104,44,77,25,26,1.35
13265,0.4,0.414583,22561.9,1417,2463,52,90,25,32,1.35
13265,0.5,0.508722,17233.9,2084,3506,77,130,25,55,1.35
13265,0.6,0.607846,11025,3228,5351,129,209,25,100,1.35
13265,0.7,0.701066,6274.72,5530,8388,241,345,25,200,1.35
13265,0.75,0.770651,3945.84,9296,13163,437,550,25,375,1.35
13265,0.8,0.834961,2099.69,16991,23380,864,1000,25,750,1.35
13265,0.85,0.857399,1699.7,21957,30131,1145,1296,25,1000,10


