"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 50",1010812,0,22.9389,32

"Num queries","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
13265,0.399421,28989.3,1326,2288,48,83,25,30,1.35
13265,0.45543,24088.3,1666,2867,61,104,25,40,1.35
13265,0.493859,21535,1955,3318,73,122,25,50,1.35
13265,0.524381,19881.5,2240,3807,83,140,25,60,1.35
13265,0.551089,18115,2474,4190,95,159,25,70,1.35
13265,0.573012,16326.2,2761,4644,107,175,25,80,1.35
13265,0.590266,14933.4,3018,5017,117,192,25,90,1.35
13265,0.607846,13831.8,3228,5351,129,209,25,100,1.35
13265,0.638568,11610.9,3841,6162,156,244,25,125,1.35
13265,0.663786,9950.91,4392,6908,184,278,25,150,1.35
13265,0.701066,7042.62,5530,8388,241,345,25,200,1.35
13265,0.725877,6171.78,6659,9652,294,396,25,250,1.35
13265,0.737336,5694.58,7184,10438,325,431,25,275,1.35
13265,0.746491,5303.66,7724,11043,352,456,25,300,1.35
13265,0.770651,4327.17,9296,13163,437,550,25,375,1.35
13265,0.798254,3454.53,11936,16702,575,692,25,500,1.35
13265,0.834961,2360.3,16991,23380,864,1000,25,750,1.35
13265,0.857487,1824.55,21959,30128,1145,1295,25,1000,1.35


