"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",10000000,5.42185
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.56107,2966.25,102600,188667,10,1
10000,0.93,0.93675,618.434,76680,651344,10,5
10000,0.98,0.98667,324.117,145659,1191203,10,10
10000,0.995,0.99851,171.851,4294807640,2242269,10,20
10000,0.99999,1,71.9599,170985,5219594,10,50


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 10000",10000000,104.459
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.2,0.24288,421550,1172,2247,10,1
10000,0.6,0.616,93646.1,5481,9754,10,5
10000,0.75,0.76049,48966.8,10786,18024,10,10
10000,0.85,0.86864,25092.4,21258,32399,10,20
10000,0.95,0.95383,10222.2,52153,70462,10,50
10000,0.98,0.9833,5180.03,102530,127688,10,100
10000,0.995,0.99525,2589.18,201667,236354,10,200
10000,0.9995,0.99955,1056.73,64999,551667,10,500
10000,0.99995,0.99999,533.705,118617,1070922,10,1000
10000,0.99999,0.99999,533.705,118617,1070922,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100000",100000000,10295.9
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.1,0.17711,306636,1214,2338,10,1
10000,0.5,0.50497,65626.3,5617,10187,10,5
10000,0.6,0.65306,33492.9,11046,19687,10,10
10000,0.75,0.77769,16690,21830,37066,10,20
10000,0.85,0.89657,6872.84,53774,85488,10,50
10000,0.95,0.95183,3468.58,106125,157557,10,100
10000,0.98,0.98022,1727.24,209206,289297,10,200
10000,0.995,0.99598,707.397,83192,641314,10,500
10000,0.999,0.99901,358.417,150529,1211983,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100000",100000000,10302.9
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.1,0.17997,321357,1207,2282,10,1
10000,0.5,0.51456,67010.7,5604,10089,10,5
10000,0.6,0.65991,34149.4,11036,19695,10,10
10000,0.75,0.78242,17228.7,21805,36878,10,20
10000,0.85,0.89895,6991.05,53757,85424,10,50
10000,0.95,0.95212,3538.86,106095,157485,10,100
10000,0.98,0.98071,1770.73,209167,289829,10,200
10000,0.995,0.99565,721.773,83057,645794,10,500
10000,0.999,0.99918,365.45,150163,1209156,10,1000


